state,incident_id
Alabama,1318
Alaska,146
Arizona,556
Arkansas,572
California,3732
Colorado,556
Connecticut,583
Delaware,493
District of Columbia,838
Florida,3138
Georgia,2032
Hawaii,48
Idaho,115
Illinois,3095
Indiana,1203
Iowa,569
Kansas,381
Kentucky,977
Louisiana,1906
Maine,183
Maryland,1266
Massachusetts,968
Michigan,1447
Minnesota,450
Mississippi,784
Missouri,1272
Montana,128
Nebraska,347
Nevada,376
New Hampshire,230
New Jersey,1521
New Mexico,320
New York,1903
North Carolina,2165
North Dakota,110
Ohio,2368
Oklahoma,642
Oregon,398
Pennsylvania,2267
Rhode Island,189
South Carolina,1660
South Dakota,72
Tennessee,1590
Texas,3133
Utah,217
Vermont,170
Virginia,1273
Washington,656
West Virginia,362
Wisconsin,1065
Wyoming,64
